Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Node,50000,109,110,112,113,114,103,198,0.000%,894.85459,195.75,105.74
TOTAL,50000,109,110,112,113,114,103,198,0.000%,894.85459,195.75,105.74
