Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Java WebClientNonBlock,50000,110,110,112,112,113,100,116,0.000%,891.83790,210.51,108.00
TOTAL,50000,110,110,112,112,113,100,116,0.000%,891.83790,210.51,108.00
