Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Java WebClientNonBlock,50000,108,109,112,112,114,100,188,0.000%,904.19183,213.43,109.49
TOTAL,50000,108,109,112,112,114,100,188,0.000%,904.19183,213.43,109.49
